id	section	relname	u_name	g_name	nukereason	pretime	predate	preage	size	files
1	APPS	APPS	PRiME	MEV		1725805758	20240908	0	150249	4
2	FLAC	MUSiC	PRiME	MEV		1725805865	20240908	0	5758353	134
3	KIDS	KiDS	PRiME	MEV		1725810809	20240908	0	0	0
4	MOVIES	Bridget.Jones.Mad.About.the.Boy.2025.1080p.WEB.h264-ETHEL	khaz	MEV		1741702576	20250311	0	7504740	21
5	MOVIES	Men.in.Black.1997.REMASTERED.1080p.BluRay.x264-FLAME	khaz	MEV		1754854770	20250810	0	9162090	95
6	MOVIES	Pearl.Harbor.Through.The.Eyes.Of.Japan.2025.1080p.WEB.H264-CBFM	khaz	MEV		1754947149	20250811	0	2849130	13
7	AUDIOBOOKS	Elizabeth_George-Det_innersta_rummet-(DECKARE)-2019-AUDIOBOOK-SE-NoFun	khaz	MEV		1755100577	20250813	0	1451211	2
8	TV	Citadel.S01.NORDiC.1080p.HEVC.x265-EGEN	khaz	MEV		1780218767	20260531	0	0	0
9	TV	Citadel.S02.NORDiC.1080p.HDRip.x265-EGEN	khaz	MEV		1780218797	20260531	0	0	0
10	AUDIOBOOKS	Arne_Dahl_-_Skaparen-AUDiOBOOK-WEB-SE-2026-CRAViNGS_iNT	khaz	MEV		1780223385	20260531	0	308435	2
11	MUSIC	BABYMETAL-METAL_FORTH-DELUXE_EDITION-24BIT-44KHZ-WEB-FLAC-2026-FLACCiD	khaz	MEV		1782768908	20260629	0	701308	16
12	MUSIC	Chicago-Love_Songs-Reissue_Deluxe_Edition-16BIT-WEB-FLAC-2025-LSM	khaz	MEV		1782768957	20260629	0	553666	21
13	MUSIC	Arctic_Monkeys-AM_Live_EP_Bonus_Edition-16BIT-WEB-FLAC-2013-LSM	khaz	MEV		1782770746	20260630	0	388150	18
14	MUSIC	Pharrell-In_My_Mind-Deluxe_Edition-16BIT-WEB-FLAC-2006-LSM	khaz	MEV		1782860150	20260701	0	0	0
15	MUSIC	Chris_Cornell-Scream-Deluxe_Edition-16BIT-WEB-FLAC-2009-LSM	khaz	MEV		1782860151	20260701	0	477719	16
16	MUSIC	Panic_At_The_Disco-Pretty_Odd_Deluxe_Version-16BIT-WEB-FLAC-2008-LSM	khaz	MEV		1782860156	20260701	0	365605	18
17	MUSIC	Three_Days_Grace-One-X-Deluxe_Edition-16BIT-WEB-FLAC-2007-LSM	khaz	MEV		1782901486	20260701	0	356219	14
18	MOVIES	Obsession.2025.1080p.WEB.h264-ETHEL	khaz	MEV		1782906530	20260701	0	5970599	24
19	MUSIC	DEATH_IN_AUGUST-GREET_THE_STORM-EP-CD-FLAC-2026-TOTENKVLT	khaz	MEV		1782979995	20260702	0	82865	6
